,mpg,cyl,displ,hp,weight,accel,yr,origin,name,Group
0,18.0,8,307.0,130,3504,12.0,70,1,chevrolet chevelle malibu,1
1,15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,1
2,18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,1
3,16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,1
4,17.0,8,302.0,140,3449,10.5,70,1,ford torino,1
5,15.0,8,429.0,198,4341,10.0,70,1,ford galaxie 500,1
6,14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,1
7,14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,1
8,14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,1
9,15.0,8,390.0,190,3850,8.5,70,1,amc ambassador dpl,1
10,15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,1
11,14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,1
12,15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,1
13,14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),1
14,24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,0
15,22.0,6,198.0,95,2833,15.5,70,1,plymouth duster,2
16,18.0,6,199.0,97,2774,15.5,70,1,amc hornet,2
17,21.0,6,200.0,85,2587,16.0,70,1,ford maverick,2
18,27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,0
19,26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,0
20,25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,0
21,24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,0
22,25.0,4,104.0,95,2375,17.5,70,2,saab 99e,0
23,26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,0
24,21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,2
25,10.0,8,360.0,215,4615,14.0,70,1,ford f250,1
26,10.0,8,307.0,200,4376,15.0,70,1,chevy c20,1
27,11.0,8,318.0,210,4382,13.5,70,1,dodge d200,1
28,9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,1
29,27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,0
30,28.0,4,140.0,90,2264,15.5,71,1,chevrolet vega 2300,0
31,25.0,4,113.0,95,2228,14.0,71,3,toyota corona,0
32,19.0,6,232.0,100,2634,13.0,71,1,amc gremlin,2
33,16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,2
34,17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,2
35,19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,2
36,18.0,6,232.0,100,3288,15.5,71,1,amc matador,2
37,14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,1
38,14.0,8,400.0,175,4464,11.5,71,1,pontiac catalina brougham,1
39,14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,1
40,14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,1
41,12.0,8,383.0,180,4955,11.5,71,1,dodge monaco (sw),1
42,13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),1
43,13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),1
44,18.0,6,258.0,110,2962,13.5,71,1,amc hornet sportabout (sw),2
45,22.0,4,140.0,72,2408,19.0,71,1,chevrolet vega (sw),0
46,19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,2
47,18.0,6,250.0,88,3139,14.5,71,1,ford mustang,2
48,23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,0
49,28.0,4,116.0,90,2123,14.0,71,2,opel 1900,0
50,30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,0
51,30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,0
52,31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,0
53,35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,0
54,27.0,4,97.0,60,1834,19.0,71,2,volkswagen model 111,0
55,26.0,4,91.0,70,1955,20.5,71,1,plymouth cricket,0
56,24.0,4,113.0,95,2278,15.5,72,3,toyota corona hardtop,0
57,25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,0
58,23.0,4,97.0,54,2254,23.5,72,2,volkswagen type 3,0
59,20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,0
60,21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,0
61,13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,1
62,14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,1
63,15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,1
64,14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,1
65,17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,1
66,11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,1
67,13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,1
68,12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,1
69,13.0,8,400.0,190,4422,12.5,72,1,chrysler newport royal,1
70,19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe,0
71,15.0,8,304.0,150,3892,12.5,72,1,amc matador (sw),1
72,13.0,8,307.0,130,4098,14.0,72,1,chevrolet chevelle concours (sw),1
73,13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),1
74,14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),1
75,18.0,4,121.0,112,2933,14.5,72,2,volvo 145e (sw),0
76,22.0,4,121.0,76,2511,18.0,72,2,volkswagen 411 (sw),0
77,21.0,4,120.0,87,2979,19.5,72,2,peugeot 504 (sw),0
78,26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),0
79,22.0,4,122.0,86,2395,16.0,72,1,ford pinto (sw),0
80,28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw),0
81,23.0,4,120.0,97,2506,14.5,72,3,toyouta corona mark ii (sw),0
82,28.0,4,98.0,80,2164,15.0,72,1,dodge colt (sw),0
83,27.0,4,97.0,88,2100,16.5,72,3,toyota corolla 1600 (sw),0
84,13.0,8,350.0,175,4100,13.0,73,1,buick century 350,1
85,14.0,8,304.0,150,3672,11.5,73,1,amc matador,1
86,13.0,8,350.0,145,3988,13.0,73,1,chevrolet malibu,1
87,14.0,8,302.0,137,4042,14.5,73,1,ford gran torino,1
88,15.0,8,318.0,150,3777,12.5,73,1,dodge coronet custom,1
89,12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,1
90,13.0,8,400.0,150,4464,12.0,73,1,chevrolet caprice classic,1
91,13.0,8,351.0,158,4363,13.0,73,1,ford ltd,1
92,14.0,8,318.0,150,4237,14.5,73,1,plymouth fury gran sedan,1
93,13.0,8,440.0,215,4735,11.0,73,1,chrysler new yorker brougham,1
94,12.0,8,455.0,225,4951,11.0,73,1,buick electra 225 custom,1
95,13.0,8,360.0,175,3821,11.0,73,1,amc ambassador brougham,1
96,18.0,6,225.0,105,3121,16.5,73,1,plymouth valiant,2
97,16.0,6,250.0,100,3278,18.0,73,1,chevrolet nova custom,2
98,18.0,6,232.0,100,2945,16.0,73,1,amc hornet,2
99,18.0,6,250.0,88,3021,16.5,73,1,ford maverick,2
100,23.0,6,198.0,95,2904,16.0,73,1,plymouth duster,2
101,26.0,4,97.0,46,1950,21.0,73,2,volkswagen super beetle,0
102,11.0,8,400.0,150,4997,14.0,73,1,chevrolet impala,1
103,12.0,8,400.0,167,4906,12.5,73,1,ford country,1
104,13.0,8,360.0,170,4654,13.0,73,1,plymouth custom suburb,1
105,12.0,8,350.0,180,4499,12.5,73,1,oldsmobile vista cruiser,1
106,18.0,6,232.0,100,2789,15.0,73,1,amc gremlin,2
107,20.0,4,97.0,88,2279,19.0,73,3,toyota carina,0
108,21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,0
109,22.0,4,108.0,94,2379,16.5,73,3,datsun 610,0
110,18.0,3,70.0,90,2124,13.5,73,3,maxda rx3,0
111,19.0,4,122.0,85,2310,18.5,73,1,ford pinto,0
112,21.0,6,155.0,107,2472,14.0,73,1,mercury capri v6,2
113,26.0,4,98.0,90,2265,15.5,73,2,fiat 124 sport coupe,0
114,15.0,8,350.0,145,4082,13.0,73,1,chevrolet monte carlo s,1
115,16.0,8,400.0,230,4278,9.5,73,1,pontiac grand prix,1
116,29.0,4,68.0,49,1867,19.5,73,2,fiat 128,0
117,24.0,4,116.0,75,2158,15.5,73,2,opel manta,0
118,20.0,4,114.0,91,2582,14.0,73,2,audi 100ls,0
119,19.0,4,121.0,112,2868,15.5,73,2,volvo 144ea,0
120,15.0,8,318.0,150,3399,11.0,73,1,dodge dart custom,1
121,24.0,4,121.0,110,2660,14.0,73,2,saab 99le,0
122,20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii,2
123,11.0,8,350.0,180,3664,11.0,73,1,oldsmobile omega,1
124,20.0,6,198.0,95,3102,16.5,74,1,plymouth duster,2
125,19.0,6,232.0,100,2901,16.0,74,1,amc hornet,2
126,15.0,6,250.0,100,3336,17.0,74,1,chevrolet nova,2
127,31.0,4,79.0,67,1950,19.0,74,3,datsun b210,0
128,26.0,4,122.0,80,2451,16.5,74,1,ford pinto,0
129,32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,0
130,25.0,4,140.0,75,2542,17.0,74,1,chevrolet vega,0
131,16.0,6,250.0,100,3781,17.0,74,1,chevrolet chevelle malibu classic,2
132,16.0,6,258.0,110,3632,18.0,74,1,amc matador,2
